"id","from","to","date","distance","countryside","device","suburban","age"
"1","Nagytarcsa","Budapest","2015-01-24T10:00:00","17","budapest","ios","true","32"
"2","Nagytarcsa","Budapest","2015-01-24T10:00:00","21","budapest","ios","true","22"
"3","Kisújszállás","Szolnok","2015-01-24T13:00:00","57","countryside","android","false","22"
"4","Győr","Budapest","2015-01-24T18:00:00","125","budapest","ios","false","34"
"5","Budapest","Székesfehérvár","2015-01-24T11:00:00","67","budapest","ios","false","34"
"6","Budapest","Szolnok","2015-01-24T20:00:00","102","budapest","ios","false","30"
"7","Isaszeg","Gödöllő","2015-01-24T13:00:00","8","countryside","ios","true","21"
"8","Mezőkövesd","Budapest","2015-01-24T09:00:00","133","budapest","ios","false","26"
"9","Székesfehérvár","Budapest","2015-01-24T19:00:00","64","budapest","ios","false","20"
"10","Tatabánya","Budapest","2015-01-24T04:00:00","61","budapest","ios","false","35"
"11","Balatonlelle","Székesfehérvár","2015-01-24T09:00:00","83","countryside","android","false","19"
"12","Diósd","Budapest","2015-01-24T18:00:00","12","budapest","ios","true","24"
"13","Budapest","Sülysáp","2015-01-24T13:00:00","44","budapest","ios","true","21"
"14","Halásztelek","Budapest","2015-01-24T18:00:00","17","budapest","ios","true","23"
"15","Debrecen","Nyíregyháza","2015-01-24T11:00:00","61","countryside","android","false","20"
"16","Debrecen","Nyíregyháza","2015-01-24T12:00:00","61","countryside","android","false","32"
"17","Göd","Sződliget","2015-01-24T09:00:00","5","countryside","android","true","33"
"18","Budapest","Székesfehérvár","2015-01-24T10:00:00","67","budapest","ios","false","26"
"19","Dunakeszi","Budapest","2015-01-24T09:00:00","9","budapest","android","true","36"
"20","Szeged","Budapest","2015-01-24T11:00:00","169","budapest","ios","false","25"
"21","Székesfehérvár","Budapest","2015-01-24T18:00:00","75","budapest","ios","false","18"
"22","Bicske","Budapest","2015-01-24T07:00:00","33","budapest","ios","true","28"
"23","Budapest","Sopron","2015-01-24T14:00:00","209","budapest","ios","false","23"
"24","Budapest","Debrecen","2015-01-24T19:00:00","238","budapest","android","false","24"
"25","Budapest","Göd","2015-01-24T20:00:00","33","budapest","android","true","35"
"26","Budapest","Kaposvár","2015-01-24T11:00:00","189","budapest","ios","false","20"
"27","Budapest","Győr","2015-01-24T18:00:00","121","budapest","ios","false","33"
"28","Érd","Budapest","2015-01-24T07:00:00","15","budapest","ios","true","29"
"29","Fót","Budapest","2015-01-24T16:00:00","20","budapest","ios","true","22"
"30","Fót","Budapest","2015-01-24T16:00:00","19","budapest","ios","true","25"
"31","Gyál","Budapest","2015-01-24T17:00:00","16","budapest","ios","true","19"
"32","Budapest","Érd","2015-01-24T12:00:00","14","budapest","ios","true","36"
"33","Budapest","Tárnok","2015-01-24T18:00:00","27","budapest","ios","true","29"
